train_id,station,station_time
118,Mor Laok,22:00:03
110,Xinfeng,2:22:08
110,Zuhu,2:04:36
112,Mabamba,23:04:39
119,Rantepang,16:57:47
117,Nkhotakota,19:37:51
119,Jönköping,0:38:08
112,Bor,9:13:59
114,Złoty Stok,22:04:21
113,Xanxerê,3:45:25
116,Tucheng,15:40:01
112,Kāshmar,15:07:34
116,Kelo,1:34:22
120,Lantang,23:37:35
111,Santa Maria Oliveira,18:07:40
113,Jiaogong,15:35:00
112,Bojano,10:30:55
118,Kibingo,6:11:33
114,Cortiços,3:46:55
118,Ramalhal,6:45:07
115,San Diego,8:58:31
112,Noebesa,23:33:06
110,Carmen de Viboral,9:53:56
111,Gizel’,22:18:49
118,Ili,0:50:45
119,E’zhou,22:33:57
115,Aţ Ţaybah,12:08:20
115,Quimbaya,9:31:29
117,Guanaja,23:37:29
113,Zhifudao,7:53:41
118,Dadong,22:52:19
112,Samir,22:28:15
114,Mujur,7:00:52
114,Yangjia,14:37:39
120,Kerva,22:27:00
120,Negla,17:25:13
117,Hexing,8:40:15
120,Ferrol,18:21:52
115,Phumĭ Véal Srê,19:20:13
118,Gamawa,2:11:33
114,Grigiškės,15:07:57
118,Caicedonia,8:01:27
120,Vyškov,13:05:22
119,Ketampak,14:52:32
116,Thị Trấn Phong Thổ,5:50:34
118,Mizhuang,9:51:24
112,Itapira,6:30:27
116,Pleven,19:51:11
120,Digby,19:51:45
110,Dao’er,23:31:37
112,Cañada de Gómez,8:22:04
120,Chuquitira,2:59:40
116,Zaprudnya,16:33:34
112,San Fernando,16:07:17
114,Marseille,4:39:15
116,Leiden,13:55:35
117,Cabaritan East,12:32:57
114,Alvega,4:19:19
113,Lamont,3:06:12
117,Örebro,15:22:17
120,Xingtai,3:17:55
118,Haymā’,7:45:05
111,Pianbai,15:14:33
112,Bindura,4:05:37
117,Bolou,16:26:47
113,Neuquén,15:51:57
119,Oula Xiuma,0:39:07
117,La Virgen,12:20:40
113,Anau,3:24:31
116,Yanzhao,13:20:21
119,Dongba,23:46:30
117,Krajan Dua Patempuran,12:27:29
111,Jianzhatan,0:05:58
117,Haninge,1:11:50
111,Huaqiao,13:21:21
116,Beberibe,8:46:49
114,Pongol,10:14:19
115,Qiqing,23:04:18
111,Buchanan,5:06:12
118,Novhorodka,19:11:09
118,Huping,8:49:23
115,Barão de Cocais,12:46:14
114,Urengoy,1:24:26
113,Taodian,12:14:56
111,Baligród,7:09:04
114,Yuhuang,4:22:02
113,Krouna,19:01:32
112,Moa,20:04:33
118,Ozatlán,17:26:54
110,Poniklá,18:57:48
119,Futuroscope,12:03:59
110,Jajawai,4:50:11
111,Chiguirip,19:40:16
118,Xigebi,18:24:31
115,Beloye,18:12:48
118,Shibukawa,0:13:29
118,Taocheng,8:03:41
111,Arnaía,22:23:39
110,Aqtoghay,20:51:38
113,Itigi,16:37:26
